Ticker,Company,Annual_Return_%,Volatility_%
CHTR,"Charter Communications, Inc.",16.457206945585835,29.92888057672065
CVX,Chevron Corporation,7.1151837310475585,26.571559486911568
CMG,"Chipotle Mexican Grill, Inc.",25.001927316161797,38.42768882519396
CB,Chubb Limited,11.165601966322036,31.09602165210409
CHD,"Church & Dwight Co., Inc.",15.375473945695939,25.995300481223538
CI,The Cigna Group,9.445140107428163,32.13917435285058
CINF,Cincinnati Financial Corporation,11.0196577511805,26.712964959535668
CTAS,Cintas Corporation,17.43830470415828,30.0208373972896
CSCO,"Cisco Systems, Inc.",20.981186574356837,39.38421184348738
C,Citigroup Inc.,3.103649717778456,39.892771987916056
CFG,"Citizens Financial Group, Inc.",6.381961269794889,37.50736444875881
CLX,The Clorox Company,6.722133579712497,28.872856693932782
CME,CME Group Inc.,16.105601583876528,33.41114998813421
CMS,CMS Energy Corporation,1.600322259023912,28.417244441055683
KO,The Coca-Cola Company,8.09809232962262,23.383395205504595
CTSH,Cognizant Technology Solutions Corporation,24.946360135849122,46.945706143941266
COIN,"Coinbase Global, Inc.",-6.522550068693289,89.41865859786573
CL,Colgate-Palmolive Company,7.6646784155699255,25.454527047789593
CMCSA,Comcast Corporation,14.204507024732083,35.25181778230447
CAG,"Conagra Brands, Inc.",9.430712778557382,26.52086013788015
COP,ConocoPhillips,7.070462944424971,32.86170254607663
ED,"Consolidated Edison, Inc.",4.805042284112315,20.97823000674664
STZ,"Constellation Brands, Inc.",16.328587701341313,32.76190910269263
CEG,Constellation Energy Corporation,77.13319528926728,43.761196263127474
COO,"The Cooper Companies, Inc.",6.020261840404917,54.62930837057406
CPRT,"Copart, Inc.",21.295571611116948,37.70411202523158
GLW,Corning Incorporated,7.4423443644169085,40.77244663158762
CPAY,"Corpay, Inc.",19.628678510809138,30.48494997549899
CTVA,"Corteva, Inc.",12.65879887372221,34.35469142311219
CSGP,"CoStar Group, Inc.",17.879069260738923,44.04978494730033
COST,Costco Wholesale Corporation,12.198819999630995,31.331075761843756
CTRA,Coterra Energy Inc.,8.593752705591928,39.253282971624614
CRWD,"CrowdStrike Holdings, Inc.",38.17888716895148,57.76259852186579
CCI,Crown Castle Inc.,7.603783002964093,46.727155822969465
CSX,CSX Corporation,10.500406063897149,30.509392091788555
CMI,Cummins Inc.,8.432669240712132,34.50996648677441
CVS,CVS Health Corporation,6.565260618679014,30.906172225874613
DHR,Danaher Corporation,19.02379430868859,34.41084917662658
DRI,"Darden Restaurants, Inc.",12.418463985567008,35.622843170805275
DVA,DaVita Inc.,13.154010496157875,40.80630294812221
DAY,Dayforce Inc,13.44494645547103,44.7974172868503
DECK,Deckers Outdoor Corporation,17.850893987327755,61.14146785698122
DE,Deere & Company,10.115256712451792,31.5966699813926
DELL,Dell Technologies Inc.,30.887565430862107,39.487391495873304
DAL,"Delta Air Lines, Inc.",6.276648749081026,51.215294324746786
DVN,Devon Energy Corporation,4.503937108132705,45.41583031667309
DXCM,"DexCom, Inc.",18.103566687128158,55.280862369132024
FANG,"Diamondback Energy, Inc.",19.919343145952585,48.09639052341338
DLR,"Digital Realty Trust, Inc.",14.249072342395097,32.94752479092496
DG,Dollar General Corporation,8.275816031424332,28.316723136397957
DLTR,"Dollar Tree, Inc.",14.96564915103824,41.3844515280904
D,"Dominion Energy, Inc.",6.531742386566819,21.555262235394483
DPZ,"Domino's Pizza, Inc.",18.29993172112363,36.37738946302291
DASH,"DoorDash, Inc.",-2.698573514727498,60.67284179575489
DOV,Dover Corporation,11.41462495365011,28.06164369037
DOW,Dow Inc.,-3.953299514060271,35.75782861422637
DHI,"D.R. Horton, Inc.",14.59271439808365,46.436240115457025
DTE,DTE Energy Company,3.423185793585626,21.133179258706882
DUK,Duke Energy Corporation,6.495641309059708,21.631357749121882
DD,"DuPont de Nemours, Inc.",4.562175381300415,31.052294456091467
EMN,Eastman Chemical Company,4.578231805403243,31.050363546873307
