Date,FFR
1886-02-17,10226.5
1886-02-18,10227.47
1886-02-19,10228.44
1886-02-23,10229.41
1886-02-24,10230.38
1886-02-25,10231.36
1886-02-26,10232.33
1886-03-01,10233.3
1886-03-02,10234.28
1886-03-03,10235.25
1886-03-04,10236.23
1886-03-05,10237.2
1886-03-08,10238.18
1886-03-09,10239.16
1886-03-10,10240.13
1886-03-11,10241.11
1886-03-12,10242.09
1886-03-15,10243.06
1886-03-16,10244.04
1886-03-17,10245.02
1886-03-18,10246
1886-03-19,10246.97
1886-03-22,10247.95
1886-03-23,10248.93
1886-03-24,10249.91
1886-03-25,10250.89
1886-03-26,10251.87
1886-03-29,10252.85
1886-03-30,10253.83
1886-03-31,10254.81
1886-04-01,10255.79
1886-04-02,10256.77
1886-04-05,10257.75
1886-04-06,10258.74
1886-04-07,10259.72
1886-04-08,10260.7
1886-04-09,10261.68
1886-04-12,10262.67
1886-04-13,10263.65
1886-04-14,10264.63
1886-04-15,10265.62
1886-04-16,10266.6
1886-04-19,10267.58
1886-04-20,10268.57
1886-04-21,10269.55
1886-04-22,10270.54
1886-04-26,10271.52
1886-04-27,10272.51
1886-04-28,10273.5
1886-04-29,10274.48
1886-04-30,10275.47
1886-05-03,10276.45
1886-05-04,10277.44
1886-05-05,10278.43
1886-05-06,10279.42
1886-05-07,10280.41
1886-05-10,10281.39
1886-05-11,10282.38
1886-05-12,10283.37
1886-05-13,10284.36
1886-05-14,10285.35
1886-05-17,10286.34
1886-05-18,10287.33
1886-05-19,10288.32
1886-05-20,10289.31
1886-05-21,10290.3
1886-05-24,10291.29
1886-05-25,10292.28
1886-05-26,10293.28
1886-05-27,10294.27
1886-05-28,10295.26
1886-06-01,10296.25
1886-06-02,10297.25
1886-06-03,10298.24
1886-06-04,10299.23
1886-06-07,10300.23
1886-06-08,10301.22
1886-06-09,10302.22
1886-06-10,10303.21
1886-06-11,10304.21
1886-06-14,10305.21
1886-06-15,10306.21
1886-06-16,10307.2
1886-06-17,10308.2
1886-06-18,10309.2
1886-06-21,10310.2
1886-06-22,10311.2
1886-06-23,10312.2
1886-06-24,10313.2
1886-06-25,10314.2
1886-06-28,10315.2
1886-06-29,10316.21
1886-06-30,10317.21
1886-07-01,10318.21
1886-07-02,10319.21
1886-07-06,10320.22
1886-07-07,10321.22
1886-07-08,10322.23
1886-07-09,10323.23
1886-07-12,10324.24
1886-07-13,10325.24
1886-07-14,10326.25
1886-07-15,10327.25
1886-07-16,10328.26
1886-07-19,10329.27
1886-07-20,10330.27
1886-07-21,10331.28
1886-07-22,10332.29
1886-07-23,10333.29
1886-07-26,10334.3
1886-07-27,10335.31
1886-07-28,10336.32
1886-07-29,10337.33
1886-07-30,10338.34
1886-08-02,10339.35
1886-08-03,10340.36
1886-08-04,10341.37
1886-08-05,10342.38
1886-08-06,10343.39
1886-08-09,10344.4
1886-08-10,10345.41
1886-08-11,10346.42
1886-08-12,10347.43
1886-08-13,10348.44
1886-08-16,10349.45
1886-08-17,10350.47
1886-08-18,10351.48
1886-08-19,10352.49
1886-08-20,10353.5
1886-08-23,10354.52
1886-08-24,10355.53
1886-08-25,10356.55
1886-08-26,10357.56
1886-08-27,10358.58
1886-08-30,10359.59
1886-08-31,10360.61
1886-09-01,10361.62
1886-09-02,10362.64
1886-09-03,10363.65
1886-09-06,10364.67
1886-09-07,10365.69
1886-09-08,10366.7
