Date,UPRO
2010-05-27,16431.39
2010-05-28,15781.8
2010-06-01,15021.44
2010-06-02,16170.63
2010-06-03,16337.93
2010-06-04,14696.06
2010-06-07,14088.01
2010-06-08,14496.45
2010-06-09,14277.23
2010-06-10,15563.73
2010-06-11,15767.95
2010-06-14,15717.18
2010-06-15,16762.53
2010-06-16,16747.53
2010-06-17,16827.15
2010-06-18,16879.07
2010-06-21,16714.07
2010-06-22,15908.18
2010-06-23,15758
2010-06-24,14981.65
2010-06-25,15268.16
2010-06-28,15002.45
2010-06-29,13636.91
2010-06-30,13165.55
2010-07-01,13081.22
2010-07-02,12853.63
2010-07-06,13092.77
2010-07-07,14328.92
2010-07-08,14749.44
2010-07-09,15068.3
2010-07-12,15112.2
2010-07-13,15797.28
2010-07-14,15791.5
2010-07-15,15803.05
2010-07-16,14496.43
2010-07-19,14765.61
2010-07-20,15235.81
2010-07-21,14662.79
2010-07-22,15628.61
2010-07-23,16030.66
2010-07-26,16552.83
2010-07-27,16520.48
2010-07-28,16209.71
2010-07-29,15969.41
2010-07-30,15953.24
2010-08-02,17031.12
2010-08-03,16794.28
2010-08-04,17124.69
2010-08-05,17063.46
2010-08-06,16852.05
2010-08-09,17120.07
2010-08-10,16872.84
2010-08-11,15480.73
2010-08-12,15200
2010-08-13,15032.48
2010-08-16,15027.86
2010-08-17,15545.43
2010-08-18,15654.02
2010-08-19,14849.95
2010-08-20,14712.47
2010-08-23,14516.07
2010-08-24,13895.69
2010-08-25,14010.06
2010-08-26,13736.26
2010-08-27,14383.22
2010-08-30,13766.3
2010-08-31,13805.58
2010-09-01,14998.98
2010-09-02,15418.35
2010-09-03,16004.07
2010-09-07,15494.6
2010-09-08,15796.12
2010-09-09,16017.94
2010-09-10,16267.48
2010-09-13,16797.98
2010-09-14,16760.79
2010-09-15,16979.13
2010-09-16,16947.94
2010-09-17,16960.64
2010-09-20,17767.03
2010-09-21,17622.91
2010-09-22,17399.75
2010-09-23,16958.05
2010-09-24,17974.42
2010-09-27,17748.95
2010-09-28,17936.26
2010-09-29,17804.45
2010-09-30,17663.38
2010-10-01,17887.7
2010-10-04,17496.88
2010-10-05,18533.95
2010-10-06,18546.78
2010-10-07,18472.78
2010-10-08,18764.16
2010-10-11,18826.6
2010-10-12,19012.76
2010-10-13,19425.56
2010-10-14,19297.21
2010-10-15,19348.08
2010-10-18,19077.51
2010-10-19,18811.57
2010-10-20,19398.96
2010-10-21,19503.03
2010-10-22,19651.03
2010-10-25,19771.28
2010-10-26,19795.57
2010-10-27,19642.94
2010-10-28,19671.84
2010-10-29,19684.56
2010-11-01,19701.91
2010-11-02,20149.39
2010-11-03,20410.71
2010-11-04,21583.18
2010-11-05,21867.63
2010-11-08,21735.81
2010-11-09,21245.55
2010-11-10,21488.36
2010-11-11,21225.89
2010-11-12,20484.71
2010-11-15,20410.71
2010-11-16,19450.99
2010-11-17,19481.06
2010-11-18,20334.39
2010-11-19,20489.34
2010-11-22,20458.12
2010-11-23,19541.18
2010-11-24,20391.05
2010-11-26,19858.01
2010-11-29,19897.32
2010-11-30,19522.68
